"Numero";"Edad";"Genero";"EstadoCivil";"NivelEducativo";"paisPregunta";"Provincia";"SituacionLaboral";"CondicionLaboral";"RubroLaboral";"Estabilidad";"ClaseSocial";"CoberturaMedica";"PersonasACargo";"Vivienda";"Ahorros";"Inversiones";"Alineacion";"Religion";"Vehiculo";"Television";"Internet";"Fuma";"Crisis";"ganancia1_final";"ganancia1_anterior";"ganancia1_recorrido";"ganancia2_final";"ganancia2_anterior";"ganancia2_recorrido";"ganancia3_final";"ganancia3_anterior";"ganancia3_recorrido";"perdida1_final";"perdida1_anterior";"perdida1_recorrido";"perdida2_final";"perdida2_anterior";"perdida2_recorrido";"perdida3_final";"perdida3_anterior";"perdida3_recorrido";"mix1_final";"mix1_anterior";"mix1_recorrido";"mix2_final";"mix2_anterior";"mix2_recorrido";"mix3_final";"mix3_anterior";"mix3_recorrido";"cambiarRespuesta"
"443";"Menores a 18";"Femenino";"Soltero/a";"Secundario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Otras";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"0";"178";"181";"SI|SI|SI|NO|NO|";"718";"687";"NO|SI|NO|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"4";"7";"SI|SI|SI|SI|SI|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"218";"213";"SI|NO|NO|SI|SI|";"375";"396";"NO|SI|NO|NO|NO|";"319";"382";"NO|NO|NO|SI|NO|";"No"
"444";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Otros";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"Ninguna";"0";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"0";"96";"93";"NO|SI|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"54";"57";"SI|NO|SI|SI|SI|";"282";"313";"SI|SI|NO|SI|SI|";"2813";"3125";"SI|SI|NO|SI|SI|";"6";"8";"NO|NO|NO|NO|NO|";"15";"29";"NO|NO|NO|NO|NO|";"144";"285";"NO|NO|NO|NO|NO|";"No"
"445";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Inseguro";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Derecha";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"2";"160";"157";"SI|SI|NO|NO|SI|";"1656";"1687";"SI|SI|NO|SI|NO|";"15937";"15625";"SI|SI|NO|NO|SI|";"128";"131";"NO|SI|NO|SI|SI|";"1282";"1313";"NO|SI|NO|SI|SI|";"13437";"13125";"NO|SI|NO|SI|NO|";"166";"170";"SI|NO|NO|NO|NO|";"1305";"1357";"NO|SI|SI|NO|NO|";"12329";"12822";"NO|SI|SI|NO|NO|";"No"
"446";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"No";"Wifi por cable";"No";"0";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"IN|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"8";"8";"SI|SI|SI|SI|SI|";"89";"88";"SI|SI|SI|SI|SI|";"921";"907";"SI|SI|SI|SI|SI|";"No"
"447";"Menores a 18";"Masculino";"Soltero/a";"Secundario incompleto";"Otros";"Provincia de Buenos Aires";"Desempleado/a";"No registrado (trabajo en negr";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"0";"Alquila";"No";"Ninguno";"Sin respuesta";"Sin respuesta";"No tengo vehículo propio";"No";"Solo datos móviles";"No";"0";"46";"43";"NO|NO|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"IN|NO|IN|IN|IN|";"313";"625";"SI|SI|SI|SI|SI|";"7";"8";"NO|NO|IN|SI|IN|";"1379";"1358";"SI|SI|SI|SI|SI|";"17";"31";"NO|NO|NO|NO|NO|";"Si"
"448";"45 a 54";"Masculino";"Divorciado/a o viudo/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Obra social";"1";"Propietario";"Si";"Moneda extranjera";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"134";"131";"SI|NO|SI|NO|SI|";"844";"813";"NO|SI|SI|NO|SI|";"12813";"13125";"SI|NO|SI|NO|NO|";"10";"7";"SI|SI|SI|SI|NO|";"1282";"1313";"NO|SI|NO|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"203";"207";"SI|SI|NO|NO|NO|";"856";"881";"SI|NO|NO|NO|NO|";"4459";"4054";"NO|NO|SI|NO|SI|";"No"
"449";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"No registrado (trabajo en negr";"Sector privado";"Seguro";"Clase media";"Otras";"0";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"16";"19";"NO|NO|NO|SI|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"Si"
"450";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";;"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"78";"81";"NO|SI|SI|NO|NO|";"468";"437";"NO|NO|SI|SI|SI|";"937";"625";"NO|NO|NO|NO|SI|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"36";"34";"NO|NO|SI|SI|SI|";"71";"85";"NO|NO|NO|SI|NO|";"27";"51";"NO|NO|NO|NO|NO|";"No"
"451";"18 a 24";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Otros";;"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"ONG u otros";"Seguro";"Clase media";"Otras";"0";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Otras";"Tengo 1";"Si";"Wifi por fibra óptica";"Ocasionalmente";"0";"4";"7";"NO|NO|NO|IN|NO|";"344";"313";"NO|NO|SI|NO|SI|";"1563";"1875";"NO|NO|NO|SI|NO|";"172";"169";"NO|NO|SI|IN|IN|";"1468";"1437";"NO|SI|NO|IN|IN|";"12187";"11875";"NO|SI|SI|IN|IN|";"6";"6";"SI|NO|SI|SI|SI|";"11";"21";"IN|IN|IN|IN|IN|";"271";"324";"IN|IN|NO|SI|NO|";"No"
"452";"45 a 54";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Ninguna";"3 o más";"Alquila";"No";"Ninguno";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"22";"19";"NO|NO|NO|SI|SI|";"218";"187";"NO|NO|NO|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"122";"119";"IN|SI|SI|IN|IN|";"468";"437";"SI|SI|IN|IN|IN|";"4063";"4375";"SI|SI|IN|IN|SI|";"8";"8";"NO|NO|SI|SI|SI|";"44";"38";"NO|NO|NO|SI|SI|";"193";"130";"NO|NO|NO|NO|SI|";"Si"
"453";"Menores a 18";"Masculino";"Soltero/a";"Secundario incompleto";"Otros";"Ciudad Autónoma de Buenos Aires";"Otros";"No registrado (trabajo en negr";"Sector privado";"Sin respuesta";"Clase baja";"Ninguna";"0";"Alquila";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"No";"Solo datos móviles";"Ocasionalmente";"1";"196";"193";"SI|SI|SI|SI|SI|";"1032";"1063";"SI|NO|NO|NO|NO|";"10313";"10625";"SI|NO|NO|NO|NO|";"90";"93";"SI|NO|NO|NO|SI|";"406";"437";"SI|SI|NO|NO|SI|";"937";"625";"SI|SI|SI|SI|NO|";"213";"207";"SI|NO|NO|NO|SI|";"818";"850";"NO|SI|SI|NO|NO|";"10797";"11124";"SI|NO|NO|NO|NO|";"Si"
"454";"Menores a 18";"Masculino";"Soltero/a";"Secundario incompleto";"Otros";;"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"No";"Ninguno";"Derecha";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"10";"7";"NO|IN|NO|NO|SI|";"156";"187";"NO|NO|NO|SI|NO|";"937";"625";"NO|NO|NO|NO|SI|";"122";"119";"NO|SI|SI|NO|NO|";"1282";"1313";"NO|SI|NO|SI|SI|";"5313";"5625";"SI|NO|SI|SI|SI|";"1";"1";"NO|NO|NO|SI|SI|";"18";"13";"NO|NO|NO|NO|SI|";"27";"51";"NO|NO|NO|NO|NO|";"No"
"455";"Menores a 18";"Masculino";"Soltero/a";"Secundario completo";"Otros";;"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"1";"Propietario";"No";"Ninguno";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"No";"Wifi por cable";"No";"3 o más";"172";"169";"SI|SI|NO|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"66";"69";"SI|NO|SI|NO|SI|";"532";"563";"SI|NO|SI|SI|SI|";"5313";"5625";"SI|NO|SI|SI|SI|";"177";"182";"SI|NO|NO|NO|NO|";"983";"1012";"SI|NO|NO|NO|NO|";"9831";"10128";"SI|NO|NO|NO|NO|";"No"
"456";"25 a 34";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";;"Otros";"No registrado (trabajo en negr";"Sector público";"Seguro";"Clase media";"Otras";"0";"Propietario";"Si";"Otros";"Centro";"Catolicismo";"Tengo 2";"Si";"Solo datos móviles";"No";"1";"172";"169";"SI|SI|NO|SI|SI|";"1468";"1437";"SI|NO|SI|SI|SI|";"14687";"14375";"SI|NO|SI|SI|SI|";"128";"131";"NO|SI|NO|SI|SI|";"1656";"1687";"NO|NO|SI|NO|SI|";"6563";"6875";"SI|NO|SI|NO|SI|";"219";"224";"SI|IN|SI|NO|NO|";"863";"818";"NO|SI|IN|NO|SI|";"19526";"19072";"SI|NO|SI|NO|SI|";"No"
"457";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";;"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"8437";"8125";"NO|SI|SI|NO|SI|";"96";"93";"SI|NO|NO|NO|NO|";"1094";"1063";"NO|SI|SI|SI|NO|";"12813";"13125";"NO|SI|NO|SI|SI|";"69";"70";"SI|SI|NO|NO|NO|";"579";"593";"SI|NO|SI|NO|NO|";"10611";"10869";"SI|NO|SI|NO|NO|";"Si"
"458";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Otros";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Ninguna";"0";"Alquila";"Si";"Ninguno";"Derecha";"Cristianismo evangélico";"Tengo 1";"No";"Wifi por cable";"No";"1";"10";"7";"NO|NO|NO|NO|SI|";"906";"937";"NO|SI|SI|SI|NO|";"9063";"9375";"NO|SI|SI|SI|NO|";"96";"93";"SI|NO|NO|NO|NO|";"968";"937";"SI|NO|NO|NO|NO|";"9687";"9375";"SI|NO|NO|NO|NO|";"9";"9";"SI|NO|NO|NO|NO|";"951";"979";"SI|NO|NO|NO|NO|";"9508";"9796";"SI|NO|NO|NO|NO|";"No"
"459";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";;"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"Si";"0";"140";"143";"SI|NO|SI|SI|NO|";"1094";"1063";"SI|NO|NO|NO|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"110";"107";"NO|SI|SI|SI|NO|";"1032";"1063";"NO|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"217";"221";"SI|SI|NO|NO|NO|";"1114";"1147";"SI|NO|NO|NO|NO|";"9831";"10128";"SI|NO|NO|NO|NO|";"No"
"460";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Otros";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Ninguna";"0";"Alquila";"No";"Ninguno";"Sin respuesta";"Sin respuesta";"No tengo vehículo propio";"No";"Wifi por cable";"No";"0";"28";"31";"NO|NO|SI|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"122";"119";"NO|SI|SI|NO|NO|";"156";"187";"SI|SI|SI|NO|SI|";"19687";"19375";"NO|NO|NO|NO|NO|";"12";"12";"NO|NO|SI|SI|SI|";"21";"20";"NO|NO|SI|SI|SI|";"219";"205";"NO|NO|SI|SI|SI|";"Si"
"461";"18 a 24";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Otros";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Ninguna";"0";"Alquila";"No";"Ninguno";"Derecha";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"No";"Wifi por cable";"No";"3 o más";"40";"43";"NO|NO|SI|SI|NO|";"94";"63";"NO|NO|NO|NO|SI|";"313";"625";"NO|NO|NO|NO|NO|";"140";"143";"NO|SI|NO|NO|SI|";"1406";"1437";"NO|SI|NO|NO|SI|";"12187";"11875";"NO|SI|SI|NO|NO|";"7";"8";"NO|NO|NO|SI|NO|";"13";"15";"NO|NO|NO|SI|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"462";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Galeno";"0";"Alquila";"Si";"Plazo fijo";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"2";"104";"107";"SI|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"4687";"4375";"NO|NO|SI|SI|SI|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"5";"8";"NO|NO|NO|NO|NO|";"5";"6";"IN|NO|NO|NO|NO|";"144";"285";"NO|NO|NO|NO|NO|";"Si"
"463";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Galeno";"0";"Alquila";"Si";"Plazo fijo";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"2";"104";"107";"SI|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"4687";"4375";"NO|NO|SI|SI|SI|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"5";"8";"NO|NO|NO|NO|NO|";"5";"6";"IN|NO|NO|NO|NO|";"144";"285";"NO|NO|NO|NO|NO|";"Si"
"464";"Menores a 18";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Otros";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Obra social";"1";"Propietario";"Si";"Acciones";"Derecha";"Ateo/a o Agnóstico/a";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"3 o más";"110";"107";"SI|NO|NO|NO|SI|";"968";"937";"NO|SI|SI|SI|SI|";"10313";"10625";"SI|NO|NO|NO|NO|";"104";"107";"IN|SI|SI|SI|SI|";"968";"937";"SI|NO|NO|NO|NO|";"9687";"9375";"SI|NO|NO|NO|NO|";"113";"116";"SI|NO|NO|NO|NO|";"565";"536";"NO|SI|NO|NO|SI|";"10797";"11124";"SI|NO|NO|NO|NO|";"No"
"465";"18 a 24";"Masculino";"Soltero/a";"Secundario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Otras";"2";"Alquila";"No";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"Tengo 1";"No";"Wifi por fibra óptica";"No";"1";"196";"193";"SI|SI|SI|SI|SI|";"1968";"1937";"SI|SI|SI|SI|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"190";"193";"IN|IN|NO|NO|SI|";"656";"687";"SI|NO|SI|NO|SI|";"19687";"19375";"NO|NO|NO|NO|NO|";"31";"37";"NO|NO|NO|SI|NO|";"61";"122";"NO|NO|NO|NO|NO|";"613";"1223";"NO|NO|NO|NO|NO|";"No"
"466";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Otros";"Ciudad Autónoma de Buenos Aires";"Otros";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Alquila";;"Otros";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"90";"93";"NO|SI|SI|SI|NO|";"718";"687";"NO|SI|NO|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"116";"119";"NO|SI|SI|NO|SI|";"1156";"1187";"NO|SI|SI|NO|SI|";"11563";"11875";"NO|SI|SI|NO|SI|";"72";"74";"NO|SI|SI|NO|NO|";"417";"396";"NO|SI|NO|NO|SI|";"1979";"2198";"NO|NO|SI|NO|NO|";"No"
"467";"Menores a 18";"Masculino";"Soltero/a";"Secundario completo";"Otros";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"Ocasionalmente";"1";"178";"181";"SI|SI|SI|NO|NO|";"1594";"1563";"SI|SI|NO|NO|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"46";"43";"SI|SI|NO|NO|NO|";"218";"187";"SI|SI|SI|NO|NO|";"2187";"1875";"SI|SI|SI|NO|NO|";"186";"191";"SI|NO|NO|NO|NO|";"1629";"1678";"SI|NO|NO|NO|NO|";"20143";"20753";"SI|NO|NO|NO|NO|";"No"
"468";"45 a 54";"Masculino";"Divorciado/a o viudo/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Obra social";"2";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"1";"196";"193";"SI|SI|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"381";"375";"SI|SI|SI|SI|SI|";"983";"1012";"SI|NO|NO|NO|NO|";"18761";"18464";"SI|SI|SI|SI|SI|";"No"
"469";"Menores a 18";"Masculino";"Soltero/a";"Secundario completo";"Otros";;"Empleado/a en relación de dependencia con menos de 20 hs semanales";"No registrado (trabajo en negr";"Sector privado";"Seguro";"Clase alta";"Otras";"0";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Sin respuesta";"Tengo 2";"Si";"Wifi por cable";"No";"0";"4";"7";"NO|NO|NO|NO|NO|";"718";"687";"NO|SI|NO|SI|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"190";"193";"NO|NO|NO|NO|SI|";"468";"437";"SI|SI|IN|IN|NO|";"12187";"11875";"NO|SI|SI|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"1337";"1358";"SI|SI|SI|SI|IN|";"18761";"18464";"SI|SI|SI|SI|SI|";"Si"
"470";"55 a 64";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Obra social";"2";"Propietario";"Si";"Moneda extranjera";"Centro";"Sin respuesta";"Tengo 2";"Si";"Wifi por fibra óptica";"No";"2";"4";"7";"NO|NO|NO|NO|NO|";"218";"187";"NO|NO|NO|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"60";"57";"SI|NO|SI|SI|NO|";"1468";"1437";"NO|SI|NO|NO|NO|";"4687";"4375";"SI|SI|NO|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"108";"114";"NO|SI|IN|IN|IN|";"710";"851";"NO|IN|IN|SI|IN|";"No"
"471";"25 a 34";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Obra social";"0";"Propietario";"Si";"Otros";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"96";"93";"NO|SI|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"10937";"10625";"SI|NO|NO|NO|SI|";"78";"81";"SI|NO|NO|SI|SI|";"532";"563";"SI|NO|SI|SI|SI|";"937";"625";"SI|SI|SI|SI|NO|";"88";"86";"IN|SI|SI|SI|SI|";"921";"892";"IN|SI|SI|SI|SI|";"10442";"10106";"IN|SI|SI|SI|SI|";"No"
"472";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Ninguna";"2";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"3 o más";"46";"43";"NO|NO|SI|SI|SI|";"94";"63";"NO|NO|NO|NO|SI|";"937";"625";"NO|NO|NO|NO|SI|";"104";"107";"NO|SI|SI|SI|SI|";"1968";"1937";"NO|NO|NO|NO|NO|";"19063";"19375";"NO|NO|NO|NO|SI|";"85";"84";"SI|SI|SI|SI|SI|";"83";"85";"SI|NO|NO|NO|NO|";"807";"831";"SI|NO|NO|NO|NO|";"No"
"473";"35 a 44";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase baja";"Otras";"2";"Alquila";"Si";"Ninguno";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"No";"Wifi por fibra óptica";"No";"2";"22";"19";"NO|NO|NO|SI|SI|";"1906";"1937";"SI|SI|SI|SI|NO|";"17813";"18125";"SI|SI|SI|NO|NO|";"72";"69";"SI|NO|SI|IN|IN|";"468";"437";"SI|SI|IN|IN|IN|";"4687";"4375";"SI|SI|IN|IN|IN|";"2";"2";"IN|IN|IN|IN|IN|";"421";"361";"IN|IN|IN|SI|SI|";"3931";"3370";"IN|IN|IN|SI|SI|";"No"
"474";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"0";"78";"81";"NO|SI|SI|NO|NO|";"468";"437";"NO|NO|SI|SI|SI|";"313";"625";"NO|NO|NO|NO|NO|";"4";"7";"SI|SI|SI|SI|SI|";"1968";"1937";"NO|NO|NO|NO|NO|";"19063";"19375";"NO|NO|NO|NO|SI|";"70";"72";"NO|SI|SI|SI|NO|";"211";"197";"IN|NO|SI|SI|SI|";"425";"439";"IN|SI|SI|SI|NO|";"No"
"475";"25 a 34";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Otros";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"196";"193";"SI|SI|SI|SI|SI|";"1906";"1937";"SI|SI|SI|SI|NO|";"19687";"19375";"SI|SI|SI|SI|SI|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"381";"375";"SI|SI|SI|SI|SI|";"3781";"3721";"SI|SI|SI|SI|SI|";"38449";"37839";"SI|SI|SI|SI|SI|";"No"
